"id","name","city","country","3-code","4-code","lat","lon","elevation","gmt","tz_short","timezone","type","airport_type","geom"
1,"Goroka Airport","Goroka","Papua New Guinea","GKA","AYGA",-6.081689835,145.391998291,5282,"10","U","Pacific/Port_Moresby","airport","OurAirports","010100000069F60680A65318C0DAFDFF3F8B2C6240"
2,"Madang Airport","Madang","Papua New Guinea","MAG","AYMD",-5.207079887,145.789001465,20,"10","U","Pacific/Port_Moresby","airport","OurAirports","0101000000294CF9BF0CD414C07A1500803F396240"
3,"Mount Hagen Kagamuga Airport","Mount Hagen","Papua New Guinea","HGU","AYMH",-5.826789856,144.296005249,5388,"10","U","Pacific/Port_Moresby","airport","OurAirports","0101000000FBBC0000A24E17C0C7FCFFDF78096240"
4,"Nadzab Airport","Nadzab","Papua New Guinea","LAE","AYNZ",-6.569803,146.725977,239,"10","U","Pacific/Port_Moresby","airport","OurAirports","010100000098A608707A471AC0BE141E343B576240"
5,"Port Moresby Jacksons International Airport","Port Moresby","Papua New Guinea","POM","AYPY",-9.443380356,147.220001221,146,"10","U","Pacific/Port_Moresby","airport","OurAirports","0101000000ED6A01C002E322C0CD2800400A676240"
6,"Wewak International Airport","Wewak","Papua New Guinea","WWK","AYWK",-3.583830118,143.669006348,19,"10","U","Pacific/Port_Moresby","airport","OurAirports","0101000000ACD6F91FAFAB0CC03F2F008068F56140"
7,"Narsarsuaq Airport","Narssarssuaq","Greenland","UAK","BGBW",61.160499573,-45.425998688,112,"-3","E","America/Godthab","airport","OurAirports","01010000004B8700408B944E40A98C002087B646C0"
8,"Godthaab / Nuuk Airport","Godthaab","Greenland","GOH","BGGH",64.19090271,-51.678100586,283,"-3","E","America/Godthab","airport","OurAirports","0101000000BD0A00C0370C50405C220000CCD649C0"
9,"Kangerlussuaq Airport","Sondrestrom","Greenland","SFJ","BGSF",67.012221899,-50.711603165,165,"-3","E","America/Godthab","airport","OurAirports","010100000000205C3EC8C05040DAB300D0155B49C0"
10,"Thule Air Base","Thule","Greenland","THU","BGTL",76.531196594,-68.703201294,251,"-4","E","America/Thule","airport","OurAirports","010100000080BEFF1FFF215340080F0040012D51C0"
